,NM,SNIPS,IPS,SMIPS,BIPW,true_val,policy,trial
0,0.009255530906191835,0.5934927720464408,0.6316987317369314,0.45550516060890767,0.46633701981790365,0.5927232979952368,softmax_from_reward_beta=-1,0
1,0.006344196035029647,0.5811139764458899,0.5303195036164711,0.42310955602714123,0.48225304451654666,0.6582505320365248,softmax_from_reward_beta=5,0
2,0.009200000000000003,0.5928948866935597,0.6567404570650603,0.4274264398609281,0.5999432839462534,0.6823194462736312,greedy_beta=0.2,0
3,0.010400000000000003,0.6435181233516553,0.6776412908571965,0.4928814268965243,0.49391954438388347,0.5780398623304536,greedy_beta=0.6,0
4,0.005836354648562855,0.6905659281861214,0.7997725897617421,0.49732015426427895,0.6119559383117594,0.6897016016582742,content_based_filtering_,0
5,0.00966491439056189,0.6432076435726372,0.6775882682779025,0.49884855442622117,0.5517033874802292,0.5944800623990134,softmax_from_reward_beta=-1,1
6,0.013702676414341813,0.5750294662010401,0.6346657621886637,0.4856428423342984,0.36492428098898383,0.49924177692608473,softmax_from_reward_beta=5,1
7,0.022400000000000003,0.741348754381099,1.6958869422440312,0.6380621729717499,0.3216858711615205,0.5302812328934621,greedy_beta=0.2,1
8,0.014200000000000003,0.7157939588411811,1.1284029555973438,0.595820567968062,0.3420103466026485,0.5750559180227167,greedy_beta=0.6,1
9,0.005888567492646454,0.7315365403763285,0.7454978925549883,0.5365212731475736,0.5531398016540333,0.6860050513369705,content_based_filtering_,1
10,0.010441748086287301,0.5815731867716306,0.5602524233049659,0.45161094506291133,0.4925141572728753,0.5565864875046714,softmax_from_reward_beta=-1,2
11,0.0056207928993826425,0.7552464364460194,0.7260965081351604,0.5139208025006958,0.5309388815745478,0.720192351858718,softmax_from_reward_beta=5,2
12,0.025200000000000004,0.5150453259035099,0.5340811472590407,0.37817929316302534,0.27510459571983664,0.4792717625154631,greedy_beta=0.2,2
13,0.013400000000000002,0.7234076218962163,1.0765536907680826,0.5592933807493355,0.4132687379345298,0.5893930699481652,greedy_beta=0.6,2
14,0.005824731803720733,0.7303898326822597,0.7394571464301103,0.509754339967819,0.6092587203327566,0.68765183917361,content_based_filtering_,2
15,0.008678919373787406,0.5971655467946524,0.593404006689577,0.4452378680050503,0.5320944052822888,0.6176764818791144,softmax_from_reward_beta=-1,3
16,0.010892315000341206,0.5305577420794612,0.5095851799378992,0.430899086364327,0.38392354629794134,0.5468500234355217,softmax_from_reward_beta=5,3
17,0.029200000000000004,0.14295195794061283,0.12791989063021658,0.15230286963598968,0.10619583380222321,0.29260573287758224,greedy_beta=0.2,3
18,0.007000000000000001,0.5162975640718631,0.32953238130143825,0.367523512157133,0.5194358478561044,0.6625720856485814,greedy_beta=0.6,3
19,0.006003901069491792,0.6726847779203527,0.674411715428736,0.4744348372262071,0.560649949528277,0.6885249278414717,content_based_filtering_,3
20,0.010989356656255151,0.5338734268578025,0.5125848391866851,0.4258939955380606,0.5783513506874443,0.5612964232122971,softmax_from_reward_beta=-1,4
21,0.008941362612087281,0.5895175551208095,0.6296865214418013,0.47177955181918224,0.5119336069084238,0.5947671801725611,softmax_from_reward_beta=5,4
22,0.027200000000000002,0.33283775019286715,0.29998433733983704,0.2795048467048018,0.2081014342023991,0.33127773300140634,greedy_beta=0.2,4
